epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.868,1.5892,2.46305,1.61917,0.59248,0.35014,0.35665,0.19413,1.675,1.92079,1.64905,0.00333085,0.00333085,0.00333085
2,643.722,1.51664,1.88984,1.54379,0.57144,0.23949,0.22502,0.10898,2.0218,2.37182,1.93527,0.00666256,0.00666256,0.00666256
3,957.009,1.65079,2.11051,1.65139,0.43844,0.27265,0.24807,0.11958,1.92884,2.22404,1.92909,0.00998775,0.00998775,0.00998775
4,1266.46,1.66336,2.12218,1.66629,0.59681,0.27935,0.29619,0.14636,1.88954,2.12669,1.87675,0.00997803,0.00997803,0.00997803
5,1570.05,1.59579,2.00576,1.62505,0.5434,0.32066,0.34238,0.1777,1.81347,2.03013,1.77636,0.00996097,0.00996097,0.00996097
6,1868.9,1.56008,1.92755,1.60029,0.60982,0.33676,0.3712,0.19609,1.74279,1.9064,1.72696,0.00993906,0.00993906,0.00993906
7,2176.41,1.53349,1.86371,1.57789,0.60882,0.38124,0.42348,0.22673,1.6955,1.80621,1.6747,0.00991232,0.00991232,0.00991232
8,2487.4,1.51174,1.82542,1.56087,0.49363,0.39965,0.4298,0.23347,1.67268,1.78604,1.64437,0.00988079,0.00988079,0.00988079
9,2789.06,1.48822,1.78311,1.54595,0.6121,0.41616,0.44131,0.24167,1.64887,1.7607,1.62696,0.00984449,0.00984449,0.00984449
10,3097.88,1.47496,1.75211,1.53419,0.51559,0.44296,0.45555,0.25069,1.64623,1.70206,1.63621,0.00980345,0.00980345,0.00980345
11,3406.54,1.46348,1.72226,1.52566,0.5195,0.45256,0.48131,0.26838,1.61251,1.67257,1.59877,0.00975773,0.00975773,0.00975773
12,3707.45,1.44985,1.69405,1.51306,0.67033,0.44389,0.48368,0.27456,1.59332,1.64204,1.57897,0.00970736,0.00970736,0.00970736
13,4009.11,1.43789,1.67286,1.50554,0.63235,0.462,0.48493,0.27914,1.57312,1.61194,1.55596,0.00965239,0.00965239,0.00965239
14,4306.93,1.43099,1.65564,1.49993,0.66699,0.4461,0.49366,0.28818,1.55733,1.59356,1.55027,0.00959289,0.00959289,0.00959289
15,4612.53,1.41473,1.63803,1.48951,0.50574,0.50293,0.5022,0.29426,1.54897,1.58442,1.54432,0.00952889,0.00952889,0.00952889
16,4917.43,1.41106,1.61595,1.47968,0.58727,0.47296,0.52753,0.30677,1.52649,1.544,1.52101,0.00946048,0.00946048,0.00946048
17,5219.82,1.40892,1.60789,1.47732,0.71692,0.45587,0.53131,0.31335,1.51836,1.53264,1.51197,0.00938772,0.00938772,0.00938772
18,5517.03,1.39616,1.58732,1.47038,0.59394,0.5116,0.5465,0.32257,1.50617,1.52145,1.49788,0.00931067,0.00931067,0.00931067
19,5815.1,1.38691,1.57194,1.46704,0.71846,0.47184,0.53861,0.32174,1.5071,1.50266,1.4972,0.00922942,0.00922942,0.00922942
20,6111.57,1.38449,1.55692,1.45944,0.62061,0.49909,0.55545,0.32988,1.4872,1.47454,1.4854,0.00914405,0.00914405,0.00914405
21,6411.3,1.38023,1.54732,1.45618,0.59845,0.53286,0.55568,0.3285,1.48487,1.45814,1.48072,0.00905463,0.00905463,0.00905463
22,6731.85,1.37286,1.53568,1.45193,0.60604,0.50224,0.56551,0.33819,1.47245,1.44263,1.47197,0.00896127,0.00896127,0.00896127
23,7053.11,1.36749,1.5284,1.44692,0.70993,0.51731,0.566,0.33985,1.4655,1.43013,1.46158,0.00886404,0.00886404,0.00886404
24,7358.77,1.36034,1.51103,1.44042,0.55631,0.53621,0.56677,0.34458,1.45,1.42196,1.44938,0.00876305,0.00876305,0.00876305
25,7655.52,1.35945,1.49795,1.43533,0.72444,0.50336,0.56724,0.34453,1.44665,1.40895,1.44774,0.00865839,0.00865839,0.00865839
26,7952.4,1.35166,1.48515,1.43198,0.74316,0.50799,0.57219,0.34493,1.44481,1.40334,1.44614,0.00855018,0.00855018,0.00855018
27,8248.78,1.3412,1.48066,1.42712,0.64975,0.52806,0.5839,0.34936,1.43596,1.38599,1.43837,0.00843851,0.00843851,0.00843851
28,8547.4,1.33858,1.46806,1.42255,0.65288,0.52969,0.58061,0.35687,1.43259,1.37463,1.43649,0.00832349,0.00832349,0.00832349
29,8857.69,1.33514,1.45833,1.42023,0.61519,0.5427,0.58335,0.35804,1.43106,1.36806,1.4347,0.00820525,0.00820525,0.00820525
30,9167.28,1.33542,1.45081,1.41577,0.61514,0.54827,0.58432,0.35992,1.42927,1.36148,1.43079,0.00808389,0.00808389,0.00808389
31,9476.99,1.32352,1.44341,1.41211,0.63358,0.53991,0.59065,0.36279,1.42957,1.35737,1.43042,0.00795954,0.00795954,0.00795954
32,9786.87,1.32075,1.43584,1.40917,0.6508,0.54442,0.59302,0.36451,1.42407,1.35172,1.42598,0.00783231,0.00783231,0.00783231
33,10096.6,1.31653,1.42024,1.40478,0.6617,0.53416,0.59298,0.36546,1.41935,1.347,1.42212,0.00770234,0.00770234,0.00770234
34,10406.7,1.31317,1.40916,1.39911,0.6565,0.5375,0.59416,0.36532,1.41733,1.34166,1.42081,0.00756976,0.00756976,0.00756976
35,10713.4,1.30552,1.40372,1.39574,0.66871,0.53176,0.59554,0.36626,1.41499,1.33785,1.41883,0.00743468,0.00743468,0.00743468
36,11010.5,1.30451,1.39627,1.39291,0.65101,0.53744,0.59679,0.3668,1.41173,1.33289,1.41605,0.00729725,0.00729725,0.00729725
37,11308,1.29921,1.38483,1.39037,0.64447,0.54138,0.59692,0.36799,1.40928,1.32684,1.4141,0.00715761,0.00715761,0.00715761
38,11612.8,1.29636,1.37609,1.38458,0.63322,0.54503,0.59389,0.36882,1.40662,1.32249,1.41183,0.00701588,0.00701588,0.00701588
39,11922.8,1.28723,1.37088,1.38069,0.6338,0.54506,0.59445,0.37067,1.40549,1.31807,1.41122,0.00687222,0.00687222,0.00687222
40,12222,1.2819,1.35999,1.37692,0.63904,0.54284,0.59504,0.3714,1.40331,1.31476,1.40989,0.00672675,0.00672675,0.00672675
41,12531.3,1.27754,1.34799,1.37326,0.6287,0.54871,0.59638,0.37275,1.40073,1.31092,1.40791,0.00657963,0.00657963,0.00657963
42,12841.2,1.2732,1.33522,1.36952,0.64302,0.54337,0.59654,0.37345,1.39851,1.30749,1.40609,0.00643101,0.00643101,0.00643101
43,13144.8,1.27069,1.33425,1.36876,0.64419,0.54891,0.59764,0.37442,1.39604,1.30369,1.40461,0.00628101,0.00628101,0.00628101
44,13450.3,1.26317,1.32439,1.36153,0.64866,0.54985,0.59842,0.37536,1.3945,1.30017,1.40333,0.00612981,0.00612981,0.00612981
